,BookID,OsisID,BookName,TotalChapters,Volume,TotalWordsKJV,BookCategory,BookCategoryStricter
0,1,Gen,Genesis,50,OT,38262,1,1
1,2,Exod,Exodus,40,OT,32685,1,1
2,3,Lev,Leviticus,27,OT,24541,1,1
3,4,Num,Numbers,36,OT,32896,1,1
4,5,Deut,Deuteronomy,34,OT,28352,1,1
5,6,Josh,Joshua,24,OT,18854,1,0
6,7,Judg,Judges,21,OT,18966,1,0
7,8,Ruth,Ruth,4,OT,2574,1,0
8,9,1Sam,1 Samuel,31,OT,25048,1,3
9,10,2Sam,2 Samuel,24,OT,20600,1,3
10,11,1Kgs,1 Kings,22,OT,24513,1,4
11,12,2Kgs,2 Kings,25,OT,23517,1,4
12,13,1Chr,1 Chronicles,29,OT,20365,1,5
13,14,2Chr,2 Chronicles,36,OT,26069,1,5
14,15,Ezra,Ezra,10,OT,7440,1,0
15,16,Neh,Nehemiah,13,OT,10480,1,0
16,17,Esth,Esther,10,OT,5633,1,0
17,18,Job,Job,42,OT,18098,2,0
18,19,Ps,Psalms,150,OT,42708,2,0
19,20,Prov,Proverbs,31,OT,15038,2,0
20,21,Eccl,Ecclesiastes,12,OT,5579,2,0
21,22,Song,Song of Solomon,8,OT,2658,2,0
22,23,Isa,Isaiah,66,OT,37036,3,0
23,24,Jer,Jeremiah,52,OT,42654,3,0
24,25,Lam,Lamentations,5,OT,3411,2,0
25,26,Ezek,Ezekiel,48,OT,39401,3,0
26,27,Dan,Daniel,12,OT,11602,3,0
27,28,Hos,Hosea,14,OT,5174,3,0
28,29,Joel,Joel,3,OT,2033,3,0
29,30,Amos,Amos,9,OT,4216,3,0
30,31,Obad,Obadiah,1,OT,669,3,0
31,32,Jonah,Jonah,4,OT,1320,3,0
32,33,Mic,Micah,7,OT,3152,3,0
33,34,Nah,Nahum,3,OT,1284,3,0
34,35,Hab,Habakkuk,3,OT,1475,3,0
35,36,Zeph,Zephaniah,3,OT,1616,3,0
36,37,Hag,Haggai,2,OT,1130,3,0
37,38,Zech,Zechariah,14,OT,6443,3,0
38,39,Mal,Malachi,4,OT,1781,3,0
39,40,Matt,Matthew,28,NT,23684,4,0
40,41,Mark,Mark,16,NT,15166,4,0
41,42,Luke,Luke,24,NT,25939,4,0
42,43,John,John,21,NT,19094,4,0
43,44,Acts,Acts,28,NT,24245,4,0
44,45,Rom,Romans,16,NT,9422,5,0
45,46,1Cor,1 Corinthians,16,NT,9462,5,6
46,47,2Cor,2 Corinthians,13,NT,6065,5,6
47,48,Gal,Galatians,6,NT,3084,5,0
48,49,Eph,Ephesians,6,NT,3022,5,0
49,50,Phil,Philippians,4,NT,2183,5,0
50,51,Col,Colossians,4,NT,1979,5,0
51,52,1Thess,1 Thessalonians,5,NT,1837,5,7
52,53,2Thess,2 Thessalonians,3,NT,1022,5,7
53,54,1Tim,1 Timothy,6,NT,2244,5,8
54,55,2Tim,2 Timothy,4,NT,1666,5,8
55,56,Titus,Titus,3,NT,896,5,0
56,57,Phim,Philemon,1,NT,430,5,0
57,58,Heb,Hebrews,13,NT,6897,5,0
58,59,Jas,James,5,NT,2304,5,0
59,60,1Pet,1 Peter,5,NT,2476,5,9
60,61,2Pet,2 Peter,3,NT,1553,5,9
61,62,1John,1 John,5,NT,2517,5,10
62,63,2John,2 John,1,NT,298,5,10
63,64,3John,3 John,1,NT,294,5,10
64,65,Jude,Jude,1,NT,608,5,0
65,66,Rev,Revelation,22,NT,11995,4,0
