,BookID,OsisID,BookName,TotalChapters,Volume,BookCategory,TestamentNumber,TotalWordsKJV,ScaledTotalWordsKJV,ScaledTotalChapters
0,1,Gen,Genesis,50,OT,1,0,38262,0.8958977240797977,0.3333333333333333
1,2,Exod,Exodus,40,OT,1,0,32685,0.7653132902500702,0.26666666666666666
2,3,Lev,Leviticus,27,OT,1,0,24541,0.5746230214479723,0.18
3,4,Num,Numbers,36,OT,1,0,32896,0.770253816615154,0.24
4,5,Deut,Deuteronomy,34,OT,1,0,28352,0.6638568886391308,0.22666666666666666
5,6,Josh,Joshua,24,OT,1,0,18854,0.4414629577596703,0.16
6,7,Judg,Judges,21,OT,1,0,18966,0.4440854172520371,0.14
7,8,Ruth,Ruth,4,OT,1,0,2574,0.06026973869064344,0.02666666666666667
8,9,1Sam,1 Samuel,31,OT,1,0,25048,0.5864943336143111,0.20666666666666667
9,10,2Sam,2 Samuel,24,OT,1,0,20600,0.48234522806031654,0.16
10,11,1Kgs,1 Kings,22,OT,1,0,24513,0.5739674065748805,0.14666666666666667
11,12,2Kgs,2 Kings,25,OT,1,0,23517,0.5506462489463333,0.16666666666666666
12,13,1Chr,1 Chronicles,29,OT,1,0,20365,0.4768427460897256,0.19333333333333333
13,14,2Chr,2 Chronicles,36,OT,1,0,26069,0.6104008616652618,0.24
14,15,Ezra,Ezra,10,OT,1,0,7440,0.17420623770722113,0.06666666666666667
15,16,Neh,Nehemiah,13,OT,1,0,10480,0.24538728107146202,0.08666666666666667
16,17,Esth,Esther,10,OT,1,0,5633,0.13189566357591084,0.06666666666666667
17,18,Job,Job,42,OT,2,0,18098,0.42376135618619465,0.28
18,19,Ps,Psalms,150,OT,2,0,42708,1.0,1.0
19,20,Prov,Proverbs,31,OT,2,0,15038,0.3521120164840311,0.20666666666666667
20,21,Eccl,Ecclesiastes,12,OT,2,0,5579,0.13063126346351972,0.08
21,22,Song,Song of Solomon,8,OT,2,0,2658,0.06223658330991852,0.05333333333333334
22,23,Isa,Isaiah,66,OT,3,0,37036,0.8671911585651401,0.44
23,24,Jer,Jeremiah,52,OT,3,0,42654,0.9987355998876088,0.3466666666666667
24,25,Lam,Lamentations,5,OT,2,0,3411,0.07986794043270581,0.03333333333333333
25,26,Ezek,Ezekiel,48,OT,3,0,39401,0.9225672005244919,0.32
26,27,Dan,Daniel,12,OT,3,0,11602,0.27165870562892197,0.08
27,28,Hos,Hosea,14,OT,3,0,5174,0.12114826262058631,0.09333333333333334
28,29,Joel,Joel,3,OT,3,0,2033,0.0476023227498361,0.02
29,30,Amos,Amos,9,OT,3,0,4216,0.09871686803409198,0.06
30,31,Obad,Obadiah,1,OT,3,0,669,0.015664512503512223,0.006666666666666667
31,32,Jonah,Jonah,4,OT,3,0,1320,0.030907558302894073,0.02666666666666667
32,33,Mic,Micah,7,OT,3,0,3152,0.07380350285660767,0.04666666666666667
33,34,Nah,Nahum,3,OT,3,0,1284,0.030064624894633324,0.02
34,35,Hab,Habakkuk,3,OT,3,0,1475,0.034536854921794514,0.02
35,36,Zeph,Zephaniah,3,OT,3,0,1616,0.03783834410414911,0.02
36,37,Hag,Haggai,2,OT,3,0,1130,0.026458743092629015,0.013333333333333334
37,38,Zech,Zechariah,14,OT,3,0,6443,0.15086166526177766,0.09333333333333334
38,39,Mal,Malachi,4,OT,3,0,1781,0.041701788892010865,0.02666666666666667
39,40,Matt,Matthew,28,NT,4,1,23684,0.5545565233679872,0.18666666666666668
40,41,Mark,Mark,16,NT,4,1,15166,0.355109113046736,0.10666666666666667
41,42,Luke,Luke,24,NT,4,1,25939,0.6073569354687647,0.16
42,43,John,John,21,NT,4,1,19094,0.44708251381474196,0.14
43,44,Acts,Acts,28,NT,4,1,24245,0.5676922356467172,0.18666666666666668
44,45,Rom,Romans,16,NT,5,1,9422,0.2206144047953545,0.10666666666666667
45,46,1Cor,1 Corinthians,16,NT,5,1,9462,0.22155099747119977,0.10666666666666667
46,47,2Cor,2 Corinthians,13,NT,5,1,6065,0.1420108644750398,0.08666666666666667
